source,codec,anchor,metric,n_points,bd_rate_pct,bd_quality
big_buck_bunny,av1,h264,vmaf,5.0,-55.622,12.619
big_buck_bunny,hevc,h264,vmaf,5.0,-37.809,7.141
big_buck_bunny,vp9,h264,vmaf,5.0,-37.783,8.3
gradient,vp9,h264,vmaf,5.0,-72.677,
gradient,av1,h264,vmaf,5.0,-65.954,
gradient,hevc,h264,vmaf,5.0,-49.269,
jellyfish,av1,h264,vmaf,5.0,-47.012,14.319
jellyfish,vp9,h264,vmaf,5.0,-37.951,11.938
jellyfish,hevc,h264,vmaf,5.0,-36.306,11.036
sintel,av1,h264,vmaf,5.0,-58.37,13.295
sintel,vp9,h264,vmaf,5.0,-51.671,11.842
sintel,hevc,h264,vmaf,5.0,-46.532,10.52
MEAN across sources,av1,h264,vmaf,,-56.74,13.41
MEAN across sources,hevc,h264,vmaf,,-42.48,9.57
MEAN across sources,vp9,h264,vmaf,,-50.02,10.69
