distorted,ladder,codec,rung,actual_bitrate_kbps,vmaf,psnr_y,float_ssim,banding_max,reference_banding_mean,banding_delta_mean,banding_delta_max,banding_delta_worst_frame,banding_threshold
sintel__apple_h264__432p_1100k.mp4,apple_h264,h264,432p_1100k,1208.27,93.07838113936266,38.81600906291783,0.9956190723443472,84.97917269483025,52.42775245949073,0.5329015912342457,25.824780876253868,66,5.0
gradient__crf_sweep_h264__720p_crf44.mp4,crf_sweep_h264,h264,720p_crf44,60.29,93.26086875760194,44.58546728460795,0.9943896894787418,24.99872504340278,2.655969690393518,14.535100866247106,21.06100802951389,81,5.0
gradient__crf_sweep_av1__720p_crf63.mp4,crf_sweep_av1,av1,720p_crf63,10.25,93.46957366987624,47.24202733279651,0.9971399191607456,19.876424153645832,2.655969690393518,10.563465259693288,17.379353841145836,143,5.0
sintel__apple_h264__540p_2000k.mp4,apple_h264,h264,540p_2000k,2153.8,97.19523910661776,40.75423627044571,0.9975284560210452,79.52015817901234,52.42775245949073,2.260185587062757,16.519749770929792,66,5.0
sintel__netflix_style_hevc__432p_400k.mp4,netflix_style_hevc,hevc,432p_400k,486.97,88.60896250496279,38.24134119672492,0.9914953118137328,69.0047275872878,52.42775245949073,-4.780792738675092,16.363585672260797,138,5.0
gradient__crf_sweep_hevc__720p_crf46.mp4,crf_sweep_hevc,hevc,720p_crf46,30.16,92.91305616383478,44.93966541568,0.9961516121346046,14.96613226996528,2.655969690393518,7.002482096354167,10.945963541666666,43,5.0
sintel__apple_h264__432p_730k.mp4,apple_h264,h264,432p_730k,819.01,90.62977183412158,38.35767505524563,0.9934981698600838,72.32925980179398,52.42775245949073,-1.720771318600501,10.01585407021605,138,5.0
sintel__netflix_style_hevc__540p_1100k.mp4,netflix_style_hevc,hevc,540p_1100k,1257.87,96.62895470569948,40.66272529104514,0.996544894758424,72.00933159722223,52.42775245949073,-4.898194364068931,8.674750434027786,126,5.0
gradient__apple_h264__234p_145k.mp4,apple_h264,h264,234p_145k,126.04,95.08789604789912,59.71331992835143,0.999691256788978,12.751042693951348,2.655969690393518,5.912643937565061,8.604232798118016,93,5.0
gradient__crf_sweep_hevc__720p_crf40.mp4,crf_sweep_hevc,hevc,720p_crf40,29.18,92.80270079288104,51.144717479495,0.997630090650498,12.13943142361111,2.655969690393518,4.725696705005787,7.992621527777778,93,5.0
sintel__crf_sweep_hevc__720p_crf34.mp4,crf_sweep_hevc,hevc,720p_crf34,362.5,90.86866532508144,41.27147083833055,0.9865816922303832,68.97679307725694,52.42775245949073,-2.1930282027633115,7.753716362847221,90,5.0
sintel__apple_h264__720p_4500k.mp4,apple_h264,h264,720p_4500k,4646.18,99.68726895979088,50.7241443226408,0.9989674765920816,71.33810763888889,52.42775245949073,2.696914107711226,6.9633110894097285,66,5.0
gradient__crf_sweep_h264__720p_crf38.mp4,crf_sweep_h264,h264,720p_crf38,73.76,92.67896369213284,52.73227067344333,0.9981032921907518,9.032945421006945,2.655969690393518,3.259285255714699,5.315144856770834,68,5.0
